jid,model,tp,pp,cp,backend,nodes,seq_len,status,iters_recorded,iters_stable,mean_tflops,mean_tokens_per_gpu,mfu_pct
3249767,140b,4,4,1,default,8,4096,FAIL,0,0,0.0,0,0.0
3249838,140b,4,4,1,default,8,4096,OK,15,11,444.63,581,90.01
3383415,140b,4,4,1,default,8,4096,OK,15,11,445.1,582,90.1
3263515,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263657,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263660,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263661,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263667,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263668,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263669,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263671,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263672,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263673,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263675,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263677,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263693,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263698,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263701,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263706,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3263713,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263721,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3263726,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3265808,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3265848,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3265880,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3266024,32b,4,1,1,default,1,4096,FAIL,0,0,0.0,0,0.0
3266053,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3266139,32b,4,1,1,default,1,2048,OOM,0,0,0.0,0,0.0
3270960,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3270963,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3270967,32b,4,1,1,default,1,4096,OK,15,11,304.83,2465,61.71
3270969,32b,4,1,1,default,1,4096,OK,15,11,308.74,2085,62.5
3270970,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
3270978,32b,4,1,1,default,1,4096,OOM,0,0,0.0,0,0.0
